word_id,word,StressPos,OLD20,PLD20,PUP,OUP,LengthOrth,LengthPhon,NormPLD,NormOLD,Duration
116,черсы,1,4.0,4.0,0.8,1.0,5,5,0.8,0.8,1.043375
69,чехвинь,2,6.0,5.7,0.6666666666666666,0.5714285714285714,7,6,0.95,0.8571428571428571,1.0372708333333334
68,чигност,2,6.0,6.0,0.4285714285714285,0.4285714285714285,7,7,0.8571428571428571,0.8571428571428571,1.1472083333333334
101,чинтирь,2,5.9,5.0,0.6666666666666666,0.5714285714285714,7,6,0.8333333333333334,0.8428571428571429,1.0721666666666667
112,шада,1,3.0,3.2,0.75,0.75,4,4,0.8,0.75,0.9727916666666668
137,шапань,1,4.95,4.9,0.8333333333333334,0.6666666666666666,6,6,0.8166666666666668,0.8250000000000001,0.9947083333333332
141,шелир,2,4.0,4.3,0.6,0.8,5,5,0.86,0.8,0.9638125
2,шехня,1,4.55,4.9,0.6,0.6,5,5,0.98,0.91,0.9925625
36,шнеток,2,4.95,5.0,0.5,0.5,6,6,0.8333333333333334,0.8250000000000001,1.0317291666666666
22,штокса,1,4.95,4.95,0.6666666666666666,0.5,6,6,0.8250000000000001,0.8250000000000001,1.0790833333333334
89,шулкан,2,4.95,4.95,0.5,0.6666666666666666,6,6,0.8250000000000001,0.8250000000000001,0.9873333333333332
59,щекниль,2,5.95,6.0,0.7142857142857143,0.5714285714285714,7,7,0.8571428571428571,0.85,1.0125833333333334
126,щулька,1,5.0,4.95,0.6666666666666666,0.1666666666666666,6,6,0.8250000000000001,0.8333333333333334,0.9795
53,эпрад,2,4.0,4.0,0.6,0.4,5,5,0.8,0.8,0.9272083333333332
134,ювак,2,3.0,4.0,0.6,0.75,4,5,0.8,0.75,1.0122708333333332
121,южжичь,1,5.0,5.0,0.6666666666666666,0.5,6,6,0.8333333333333334,0.8333333333333334,1.1389583333333333
51,юктус,1,4.0,5.0,0.6666666666666666,0.4,5,6,0.8333333333333334,0.8,1.0779166666666666
74,яшель,1,4.0,4.0,1.0,0.6,5,5,0.8,0.8,0.9971666666666666
