is_word,rt,word,is_correct,age,modality,experiment_id,subject,is_outlier_word,is_outlier_subject,is_outlier,rtz_subject,rtz_word,rtz,word_id,Freq(ipm),StressPos,MeanValency,MedianValency,OLD20,PLD20,PUP,OUP,Duration,NormOLD,NormPLD,LengthOrth,LengthPhon
0,1.01991180004552,неворт,1,19,1,1,1101,0,0,0,-0.5250968292058293,-0.7304071210498929,-0.532513043086799,25,,1,,,5.0,5.0,0.8333333333333334,0.8333333333333334,1.006875,0.8333333333333334,0.8333333333333334,6,6
1,1.190539699979126,вата,1,19,1,1,1101,0,0,0,-0.04319800974910588,-0.0815521619707082,0.10812424899933311,115,0.9138138523837168,1,-0.19765,-0.14027,3.45,3.55,1.0,0.5,0.817479166666666,0.8625,0.8875,4,4
0,0.9791174000129104,бодор,1,19,1,1,1101,0,0,0,-0.6403111243111989,-0.744084661250972,-0.418464235060278,26,,1,,,3.95,4.0,0.8,0.8,0.8912083333333334,0.79,0.8,5,5
1,0.8029337000334635,доктор,1,19,1,1,1101,0,0,0,-1.1379010088532344,-1.1453651847676576,-0.5907068555492192,49,2.1556396337597765,1,0.027027,-0.15244,4.95,4.9,1.0,1.0,0.918895833333333,0.825,0.8166666667,6,6
1,0.9244867999805138,щука,1,19,1,1,1101,0,0,0,-0.7946025483518652,-0.7101384833601594,-0.48686253436118815,1,0.724275869600789,1,-0.18894,-0.09167,3.55,4.0,0.8,0.25,0.931875,0.8875,0.8,4,5
1,0.8327703000977635,ручка,1,19,1,1,1101,0,0,0,-1.0536344712401984,-0.7765677135095411,-0.6112222636512608,46,1.760422483423212,1,0.027027,0.048825,4.0,4.0,0.6,0.8,0.953145833333333,0.8,0.8,5,5
1,0.8587354000192136,паук,1,19,1,1,1101,0,0,0,-0.98030208536373,-0.8041008154162869,-0.6433080602537627,101,0.99563519459755,2,0.027027,-1.35734,3.85,3.75,1.0,1.0,0.952458333333333,0.9625,0.9375,4,4
0,0.9187476999359204,тивло,1,19,1,1,1101,0,0,0,-0.8108113016525254,-1.1204493336567738,-0.7828851104962661,27,,1,,,4.0,4.6,0.6,0.6,0.9350416666666668,0.8,0.92,5,5
0,1.242603200022131,теньтефь,1,19,1,1,1101,0,0,0,0.10384323741663802,-0.5679385410018334,-0.15522213468221607,28,,2,,,6.8,5.0,0.6666666666666666,0.375,1.1624791666666667,0.85,0.8333333333333334,8,6
1,0.9217222000006586,яйцо,1,19,1,1,1101,0,0,0,-0.8024105180161503,-0.9681854470192754,-0.5563983666247138,77,1.60422605308447,2,-0.07189,-0.0682,4.0,4.9,0.6,1.0,0.9891875,1.0,0.98,4,5
1,1.13308269996196,ответ,1,19,1,1,1101,0,0,0,-0.20547194319475703,0.09781429637154926,0.2267272083154434,98,2.4204508591060683,2,0.040055,-0.06047,4.0,4.0,1.0,1.0,0.919520833333333,0.8,0.8,5,5
1,1.471656600013375,груша,1,19,1,1,1101,0,0,0,0.7507512934337375,1.700742321823115,1.0344835459007198,35,1.0253058652647702,1,0.405716,0.40307,3.95,4.0,1.0,1.0,0.9689375,0.79,0.8,5,5
0,1.422909299959429,гритня,1,19,1,1,1101,0,0,0,0.6130758818695087,-0.2746668251391575,-0.1927013351660915,29,,1,,,5.0,5.0,0.6666666666666666,0.6666666666666666,1.066375,0.8333333333333334,0.8333333333333334,6,6
0,1.243457500007935,гаслень,1,19,1,1,1101,0,0,0,0.1062560090371121,-0.28227084740014247,-0.018033214917600487,30,,2,,,5.9,5.0,0.6666666666666666,0.2857142857142857,1.00425,0.8428571428571429,0.8333333333333334,7,6
0,0.9854905999964104,вепемь,1,19,1,1,1101,0,0,0,-0.622311503209343,-0.6412846752852281,-1.0928063712137586,31,,1,,,5.0,4.0,0.6,0.3333333333333333,0.9461041666666666,0.8333333333333334,0.8,6,5
1,0.9691442999755964,лиса,1,19,1,1,1101,0,0,0,-0.668477825865725,-0.5324119276982971,-0.5067816353661321,114,0.9395192526186184,2,-0.20021,-0.06047,3.7,3.8,1.0,1.0,0.889416666666666,0.925,0.95,4,4
1,1.245344599941745,забор,1,19,1,1,1101,0,0,0,0.11158568390654257,0.05365425507011169,0.258000557592553,57,1.683947130751512,2,0.027027,-0.38595,4.0,4.0,1.0,1.0,0.945916666666666,0.8,0.8,5,5
1,0.7388325000647455,окно,1,19,1,1,1101,0,0,0,-1.3189399397824932,-1.339952990776762,-0.7857547106132918,79,2.448397103457768,2,0.027027,-0.09167,3.0,3.45,0.75,0.75,0.870583333333333,0.75,0.8625,4,4
0,0.9781195999821648,пунцичь,1,19,1,1,1101,0,0,0,-0.6431291784339846,-0.6811796559315495,-1.3210902317427502,32,,1,,,6.0,5.0,0.6666666666666666,0.7142857142857143,1.1477291666666667,0.8571428571428571,0.8333333333333334,7,6
0,1.251876299967989,бутфиль,1,19,1,1,1101,0,0,0,0.13003295151586844,-0.11074063042612271,0.08195883645001595,33,,2,,,6.0,5.0,0.6666666666666666,0.1428571428571428,0.9247291666666668,0.8571428571428571,0.8333333333333334,7,6
1,0.985272099962458,крыло,1,19,1,1,1101,0,0,0,-0.62292860573744,-0.9372015208024213,-0.4123896088364359,156,1.829946695941636,2,0.401323,0.155506,4.0,4.1,1.0,0.2,0.921083333333333,0.8,0.82,5,5
0,1.48497889994178,треза,1,19,1,1,1101,0,0,0,0.7883770311380919,0.4986100480897236,0.4974535819235922,34,,1,,,4.0,4.95,1.0,1.0,1.0309583333333334,0.8,0.99,5,5
0,1.557736200047657,овог,1,19,1,1,1101,0,0,0,0.9938631037060818,0.8139533563244599,0.8898684377534537,35,,1,,,3.0,3.0,1.0,1.0,0.9124583333333334,0.75,0.75,4,4
1,1.455782699980773,ведро,1,19,1,1,1101,0,0,0,0.7059191546752956,0.6735454322692698,0.7092412321820432,105,1.5327543789924978,2,-0.47033,-0.39969,4.0,4.0,0.8,0.4,0.787166666666666,0.8,0.8,5,5
1,1.18387170007918,трава,1,19,1,1,1101,0,0,0,-0.062030224651661914,-0.12827763382304755,0.08605935519378743,40,1.9479236198317265,2,0.027027,0.494202,4.0,4.0,1.0,1.0,0.983604166666666,0.8,0.8,5,5
0,1.057945000007749,шнеток,1,19,1,1,1101,0,0,0,-0.4176809015111708,-0.4713649076542542,-0.15165895478882666,36,,2,,,4.95,5.0,0.5,0.5,1.0317291666666666,0.8250000000000001,0.8333333333333334,6,6
1,0.9227956000249832,кефир,1,19,1,1,1101,0,0,0,-0.7993789492942232,-0.6701164113499927,-0.39525700417966786,60,0.7708520116421442,2,0.027027,0.035028,4.0,4.9,0.6,0.8,0.968833333333333,0.8,0.98,5,5
1,1.061957400059327,лето,1,19,1,1,1101,0,0,0,-0.4063488107522978,-0.07151527708636092,0.1311267737270175,32,2.130333768495006,1,0.027027,0.994351,3.45,3.8,1.0,0.5,0.9460625,0.8625,0.95,4,4
1,1.25623810000252,носок,0,19,1,1,1101,0,0,0,0.1423518412646413,0.4179174066881845,0.4562975591288805,64,1.4014005407815442,2,0.027027,-0.06047,4.0,4.0,1.0,1.0,1.01708333333333,0.8,0.8,5,5
0,1.885376099962741,войстов,1,19,1,1,1101,1,1,1,1.919205799932404,1.698675328574564,1.5490806530380292,37,,2,,,6.0,6.0,0.5714285714285714,0.4285714285714285,1.094875,0.8571428571428571,0.8571428571428571,7,7
0,1.44602659996599,целдер,1,19,1,1,1101,0,0,0,0.678365319215473,0.327398176307416,0.3940724848325351,38,,1,,,5.0,5.8,0.6666666666666666,0.6666666666666666,1.0295625,0.8333333333333334,0.9666666666666668,6,6
