,is_word,rt,word,is_test,is_correct,age,modality,experiment_id,subject
329,1,1.112048400100321,завод,1,0,19,1,2,1102
330,1,1.60079830000177,ключи,1,1,19,1,2,1102
331,0,1.597599499975331,зелер,1,1,19,1,2,1102
332,1,1.476180400000885,вилка,1,1,19,1,2,1102
333,1,1.732368599972688,кольцо,1,1,19,1,2,1102
334,1,1.580636400030926,зебра,1,1,19,1,2,1102
335,0,1.430827400065027,сцурка,1,1,19,1,2,1102
336,1,1.545531500014476,отец,1,1,19,1,2,1102
337,0,1.236907999962568,депьял,1,1,19,1,2,1102
338,0,1.457178100012243,сларты,1,1,19,1,2,1102
339,0,1.475719399983063,выньце,1,1,19,1,2,1102
340,0,1.082260899944231,боктен,1,1,19,1,2,1102
341,1,0.91195710003376,свеча,1,1,19,1,2,1102
342,0,1.275799300055951,чигност,1,1,19,1,2,1102
343,0,1.799737900029868,мистна,1,1,19,1,2,1102
344,0,1.270434799953364,лоча,1,1,19,1,2,1102
345,0,1.171632900019176,овог,1,1,19,1,2,1102
346,0,1.216108100023121,журтынь,1,1,19,1,2,1102
347,1,1.295567800058052,город,1,1,19,1,2,1102
348,1,1.185087799909525,солнце,1,1,19,1,2,1102
349,1,1.034028699970804,локоть,1,1,19,1,2,1102
350,0,1.16577129997313,кугур,1,1,19,1,2,1102
351,1,1.373357400065288,ручка,1,1,19,1,2,1102
352,1,1.222348400042392,пюре,1,1,19,1,2,1102
353,0,1.021381599945016,акань,1,1,19,1,2,1102
354,0,1.361715600010939,шулкан,1,1,19,1,2,1102
355,0,1.243798400042579,ержин,1,1,19,1,2,1102
356,0,1.371515200007707,жикно,1,1,19,1,2,1102
357,0,1.3565223000478,выгло,1,1,19,1,2,1102
358,0,1.660103100002743,тоюнт,1,1,19,1,2,1102
359,1,1.252574999933131,танец,1,1,19,1,2,1102
360,0,1.274364400072955,тунка,1,1,19,1,2,1102
361,1,0.9511791999684648,обед,1,1,19,1,2,1102
362,0,1.196105699986219,полер,1,1,19,1,2,1102
363,0,1.42880720004905,гжольты,1,1,19,1,2,1102
364,0,1.278889599954709,котчох,1,1,19,1,2,1102
365,0,1.360398199991323,теньтефь,1,1,19,1,2,1102
366,0,1.69242039998062,десья,1,1,19,1,2,1102
367,0,1.345475099980831,гласпы,1,1,19,1,2,1102
368,0,1.450608500046656,прекифь,1,1,19,1,2,1102
369,0,1.225765899987891,лоур,1,1,19,1,2,1102
370,1,1.000026599969715,тетя,1,1,19,1,2,1102
371,0,1.060817199992016,вуган,1,1,19,1,2,1102
372,1,0.884029500070028,деньги,1,1,19,1,2,1102
373,0,1.270698699983768,пунцичь,1,1,19,1,2,1102
374,1,1.00948290002998,игра,1,1,19,1,2,1102
375,1,1.756384799955413,сердце,1,1,19,1,2,1102
376,0,1.640103799989447,кеха,1,1,19,1,2,1102
377,1,1.058197799953632,масло,1,1,19,1,2,1102
378,1,1.187783199944533,плечо,1,1,19,1,2,1102
379,1,1.511437600012869,ветер,1,1,19,1,2,1102
380,1,1.32526020007208,небо,1,1,19,1,2,1102
381,1,1.056053099920973,фонарь,1,1,19,1,2,1102
382,0,1.066490900004283,черсы,1,1,19,1,2,1102
383,0,1.340092599974014,васка,1,1,19,1,2,1102
384,0,1.193670899956487,плинка,1,1,19,1,2,1102
385,1,0.98131329996977,пчела,1,1,19,1,2,1102
386,0,1.408048099954613,каврам,1,1,19,1,2,1102
387,1,0.8999479999765754,мыло,1,1,19,1,2,1102
388,0,1.230398099985905,свеммо,1,1,19,1,2,1102
389,0,1.362566100084223,треза,1,1,19,1,2,1102
390,1,1.10440309997648,груша,1,1,19,1,2,1102
391,1,1.220931700081564,пакет,1,0,19,1,2,1102
392,1,1.223253799951635,лампа,1,1,19,1,2,1102
393,1,1.237058300059289,сосед,1,1,19,1,2,1102
394,0,1.106782700051554,прена,1,1,19,1,2,1102
395,0,1.717551299952902,осчинь,1,1,19,1,2,1102
396,1,1.042891100049019,зубы,1,1,19,1,2,1102
397,0,1.797198800020851,глисо,1,1,19,1,2,1102
398,0,1.202817399986088,ускут,1,1,19,1,2,1102
399,1,0.8538673999719322,море,1,1,19,1,2,1102
